ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-11-13 00:00:00+00:00,35,1,42405231,51.25,59.5,51.25,59.5,2,ESH6 P5750
2025-11-13 00:00:00+00:00,35,1,42080919,126.5,210.0,126.5,210.0,15,ESZ5 P6900
2025-11-13 00:00:00+00:00,35,1,42542066,29.75,29.75,17.5,17.5,190,ESZ5 C7125
2025-11-13 00:00:00+00:00,35,1,359028,1.75,2.3,1.75,2.3,7,ESZ5 P4700
2025-11-13 00:00:00+00:00,35,1,273802,62.25,68.75,36.0,37.5,1814,ESZ5 C7000
2025-11-13 00:00:00+00:00,35,1,42431940,1.9,1.9,1.9,1.9,2,ESH6 P2200
2025-11-13 00:00:00+00:00,35,1,42394602,7.6,7.6,7.6,7.6,1,ESM6 P2700
2025-11-13 00:00:00+00:00,35,1,42429372,126.25,126.25,126.25,126.25,25,ESU6 C7700
2025-11-13 00:00:00+00:00,35,1,42429003,59.5,68.25,59.5,68.25,5,ESH6 P5800
2025-11-13 00:00:00+00:00,35,1,42378449,132.0,150.0,131.0,150.0,32,ESM6 P6000
2025-11-13 00:00:00+00:00,35,1,42430452,28.5,34.0,28.5,34.0,5,ESH6 P5200
2025-11-13 00:00:00+00:00,35,1,42377432,239.0,240.5,239.0,240.5,2,ESU6 P6200
2025-11-13 00:00:00+00:00,35,1,42472887,52.5,52.5,52.5,52.5,1,ESU6 P4500
2025-11-13 00:00:00+00:00,35,1,4246398,102.0,162.0,91.0,150.25,328,ESZ5 P6800
2025-11-13 00:00:00+00:00,35,1,42622543,0.5,0.9,0.5,0.9,267,ESZ5 P3750
2025-11-13 00:00:00+00:00,35,1,300898,329.0,329.0,329.0,329.0,1,ESZ6 P6500
2025-11-13 00:00:00+00:00,35,1,42321644,535.0,535.0,535.0,535.0,1,ESZ5 P7300
