ts_recv,ts_event,rtype,publisher_id,instrument_id,ts_ref,price,quantity,sequence,ts_in_delta,stat_type,channel_id,update_action,stat_flags,symbol
2025-11-13T01:06:01.108692874Z,2025-11-13T01:06:01.108606153Z,24,1,42140864,,6993.250000000,9223372036854775807,38792484,12743,8,0,1,0,ESM6
2025-11-13T01:06:02.410792862Z,2025-11-13T01:06:02.410703841Z,24,1,42140864,,6993.500000000,9223372036854775807,38793079,11864,8,0,1,0,ESM6
2025-11-13T01:06:02.849231679Z,2025-11-13T01:06:02.849144479Z,24,1,42140864,,6993.750000000,9223372036854775807,38793205,11549,8,0,1,0,ESM6
2025-11-13T01:06:03.398087590Z,2025-11-13T01:06:03.397986075Z,24,1,294973,,6879.000000000,9223372036854775807,38793273,11576,8,0,1,0,ESZ5
2025-11-13T01:06:07.251886046Z,2025-11-13T01:06:07.251790271Z,24,1,42140864,,6994.000000000,9223372036854775807,38794362,12887,8,0,1,0,ESM6
2025-11-13T01:06:17.993646974Z,2025-11-13T01:06:17.993160613Z,24,1,294973,,6879.250000000,9223372036854775807,38797206,13330,5,0,1,0,ESZ5
2025-11-13T01:07:11.020418895Z,2025-11-13T01:07:11.020103379Z,24,1,294973,,6879.500000000,9223372036854775807,38807236,11197,5,0,1,0,ESZ5
2025-11-13T01:07:11.020665433Z,2025-11-13T01:07:11.020422449Z,24,1,294973,,6879.250000000,9223372036854775807,38807245,13674,8,0,1,0,ESZ5
2025-11-13T01:07:11.020665433Z,2025-11-13T01:07:11.020408377Z,24,1,42140878,,6940.000000000,9223372036854775807,38807245,13674,8,0,1,0,ESH6
2025-11-13T01:07:11.071671254Z,2025-11-13T01:07:11.071575429Z,24,1,42140864,,6994.250000000,9223372036854775807,38807316,11420,8,0,1,0,ESM6
2025-11-13T01:07:13.172093071Z,2025-11-13T01:07:13.171990419Z,24,1,42140864,,6994.500000000,9223372036854775807,38807791,13264,8,0,1,0,ESM6
2025-11-13T01:07:15.770667613Z,2025-11-13T01:07:15.770561047Z,24,1,42140864,,6994.750000000,9223372036854775807,38808094,12408,8,0,1,0,ESM6
2025-11-13T01:07:43.949711629Z,2025-11-13T01:07:43.949604037Z,24,1,294973,,6879.500000000,9223372036854775807,38811907,11661,8,0,1,0,ESZ5
2025-11-13T01:07:44.956897579Z,2025-11-13T01:07:44.956538143Z,24,1,294973,,6879.750000000,9223372036854775807,38812045,12653,5,0,1,0,ESZ5
2025-11-13T01:07:44.956998750Z,2025-11-13T01:07:44.956887299Z,24,1,294973,,6879.750000000,9223372036854775807,38812048,11614,8,0,1,0,ESZ5
2025-11-13T01:07:44.957191708Z,2025-11-13T01:07:44.956953939Z,24,1,42140878,,6941.000000000,9223372036854775807,38812053,11665,5,0,1,0,ESH6
2025-11-13T01:07:44.957319657Z,2025-11-13T01:07:44.957005527Z,24,1,42140878,,6940.500000000,9223372036854775807,38812063,11418,8,0,1,0,ESH6
