ts_recv,ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,trading_reference_price,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,trading_reference_date,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,md_security_trading_status,main_fraction,price_display_format,settl_price_type,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,symbol
2025-11-13 00:00:00+00:00,2025-11-09 12:01:39.244000+00:00,19,1,42466889,ESM7 C5000,A,C,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,2157.25,50.0,0.0,,270339,42140856,42466889,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESM7,USD,5000.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 C5000
2025-11-13 00:00:00+00:00,2025-11-09 12:01:37.244000+00:00,19,1,42466887,ESM7 C4100,A,C,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,2980.75,50.0,0.0,,270339,42140856,42466887,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESM7,USD,4100.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 C4100
2025-11-13 00:00:00+00:00,2025-11-09 12:01:40.794000+00:00,19,1,42466888,ESM7 C4600,A,C,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,2514.5,50.0,0.0,,270339,42140856,42466888,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESM7,USD,4600.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 C4600
2025-11-13 00:00:00+00:00,2025-11-09 12:01:38.994000+00:00,19,1,42466886,ESM7 C5950,A,C,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,1375.0,50.0,0.0,,270339,42140856,42466886,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESM7,USD,5950.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 C5950
2025-11-13 00:00:00+00:00,2025-11-09 12:01:41.594000+00:00,19,1,42466904,ESM7 C4900,A,C,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,2245.25,50.0,0.0,,270339,42140856,42466904,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESM7,USD,4900.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 C4900
2025-11-13 00:00:00+00:00,2025-11-10 01:19:07.613511359+00:00,19,1,2986690,UD:1V: GN 2986690,A,T,0.0,0.01,2025-11-10 21:00:00+00:00,2025-11-10 01:19:07+00:00,,,,,,,,287747,0,2986690,0,3,54,3000,10000,0,0,1,2147483647,2147483647,2147483647,65535,323,2025,65535,12,USD,,GN,1V,XCME,ES,OMXFPS,OOF,IPNT,,,,F,255,255,255,128,255,255,11,255,2,Y,127,127,15,UD:1V: GN 2986690
2025-11-13 00:00:00+00:00,2025-11-11 16:39:16.151094703+00:00,19,1,2555771,UD:1V: GN 2555771,A,T,0.0,0.01,2025-11-11 22:00:00+00:00,2025-11-11 16:39:16+00:00,,,,,,,,287747,0,2555771,0,3,54,3000,10000,0,0,1,2147483647,2147483647,2147483647,65535,323,2025,65535,12,USD,,GN,1V,XCME,ES,OMXFPS,OOF,IPNT,,,,F,255,255,255,128,255,255,12,255,255,Y,127,127,15,UD:1V: GN 2555771
2025-11-13 00:00:00+00:00,2025-11-09 12:01:38.894000+00:00,19,1,42532466,ESH7 C9000,A,C,,0.01,2027-03-19 13:30:00+00:00,2025-03-21 20:25:00+00:00,,0.05,,29.25,50.0,0.0,,270339,42140860,42532466,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESH7,USD,9000.0,F,255,255,255,3,255,5,3,255,255,N,127,127,15,ESH7 C9000
2025-11-13 00:00:00+00:00,2025-11-09 12:01:40.394000+00:00,19,1,327501,ESZ7 C2900,A,C,,0.01,2027-12-17 14:30:00+00:00,2022-09-16 20:25:00+00:00,,0.05,,4271.75,50.0,0.0,,270339,17740,327501,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESZ7,USD,2900.0,F,255,255,255,3,255,5,12,255,255,N,127,127,15,ESZ7 C2900
2025-11-13 00:00:00+00:00,2025-11-09 12:01:42.094000+00:00,19,1,42663437,ESM6 C7950,A,C,,0.01,2026-06-18 13:30:00+00:00,2024-06-21 20:25:00+00:00,,0.05,,26.75,50.0,0.0,,270339,42140864,42663437,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2026,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESM6,USD,7950.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM6 C7950
